,address,latitude,longitude,price,beds,bath,square,build,year,style
209,"442 Connaught STREET, Regina, Saskatchewan, S4R 4W9",50.4715036,-104.6470231,259900,3,2,840,Residential,1969,Freehold
210,"1602 Longworthy BAY, Regina, Saskatchewan, S4V 1B7",50.44144034999999,-104.56100061629178,589900,3,3,2691,Residential,1983,Freehold
211,"7119 BOWMAN AVENUE, Regina, Saskatchewan, S4T 6K9",50.455903,-104.6810726,199900,4,2,1296,Residential,1966,Freehold
212,"746 Montague STREET, Regina, Saskatchewan, S4T 3G9",50.466790849999995,-104.63002482072369,164900,2,1,744,Residential,1952,Freehold
213,"1344 McTavish STREET, Regina, Saskatchewan, S4T 3V9",50.4574326,-104.6343515485348,159900,4,2,824,Residential,1946,Freehold
214,"1357 Elphinstone STREET, Regina, Saskatchewan, S4T 3M5",50.45716825,-104.63084435801329,139910,4,1,1121,Residential,1922,Freehold
215,"7728 Walsh AVENUE, Regina, Saskatchewan, TBA",50.5020015,-104.6922103,392900,3,3,1413,Residential,2022,Freehold
216,"238 Cornwall STREET, Regina, Saskatchewan, S4R 2G4",50.47474685,-104.6125778025492,144500,3,1,836,Residential,1957,Freehold
217,"1936 ATKINSON STREET, Regina, Saskatchewan, S4N 3W5",50.4480979,-104.59257440348486,309900,4,2,924,Residential,2010,Freehold
218,"15 Deis BAY, Regina, Saskatchewan, S4R 5R2",50.47631964999999,-104.66204904748417,579900,5,3,1885,Residential,1973,Freehold
219,"435 McIntosh STREET, Regina, Saskatchewan, S4R 4Z7",50.4716282,-104.652126,159900,3,1,972,Residential,1965,Freehold
220,"3350 Chuka BOULEVARD, Regina, Saskatchewan, S4V 3K7",50.4251715,-104.5127184,376900,3,4,1596,Residential,2017,Freehold
221,"1411 KING STREET, Regina, Saskatchewan, S4T 4G5",50.45643025,-104.63808282451424,139900,3,1,960,Residential,1928,Freehold
222,"1116 Empress STREET, Regina, Saskatchewan, S4T 5E3",50.4651715,-104.6539073,140000,2,1,768,Residential,1955,Freehold
223,"2790 Sandringham CRESCENT, Regina, Saskatchewan, S4V 3C9",50.435608,-104.53325084003782,550000,4,4,1713,Residential,2005,Freehold
224,"350 forsyth CRESCENT, Regina, Saskatchewan, S4R 5L5",50.47279975,-104.6612958,289900,4,2,850,Residential,1972,Freehold
225,"1166 Robinson STREET, Regina, Saskatchewan, S4T 2M9",50.46016725,-104.62426365607577,59900,2,1,789,Residential,1929,Freehold
226,"941 MCINTOSH STREET, Regina, Saskatchewan, S4T 5B6",50.4636215,-104.65217025007195,189900,2,1,748,Residential,1953,Freehold
227,"466 Forget STREET, Regina, Saskatchewan, S4R 4X9",50.4710747,-104.64998108974547,319900,5,2,1048,Residential,2013,Freehold
228,"5513 3rd AVENUE, Regina, Saskatchewan, S4T 0G4",50.46362765,-104.66060962532738,269900,3,1,1040,Residential,1955,Freehold
229,"1168 ELPHINSTONE STREET, Regina, Saskatchewan, S4T 3M1",50.4601136,-104.63150929024897,94900,3,2,990,Residential,1929,Freehold
230,"3130 Garnet STREET, Regina, Saskatchewan, S4S 1X5",50.42941655,-104.62711340285388,225000,2,1,630,Residential,1949,Freehold
231,"439 Argyle STREET, Regina, Saskatchewan, S4R 4C9",50.48377475,-104.63224215,309900,3,2,1056,Residential,1964,Freehold
232,"2 Dalgliesh DRIVE, Regina, Saskatchewan, S4R 4J5",50.4914376,-104.6855078,429900,3,3,1504,Residential,2022,Freehold
233,"1272 Angus STREET, Regina, Saskatchewan, S4T 1Y7",50.458559699999995,-104.61996498847117,79800,2,1,840,Residential,1905,Freehold
234,"1713 Quebec STREET, Regina, Saskatchewan, S4P 1J4",50.451595999999995,-104.59594773542749,95000,3,2,700,Residential,1951,Freehold
235,"4532 Buckingham DRIVE E, Regina, Saskatchewan, TBA",50.4293207,-104.5251775,415900,3,3,1484,Residential,2022,Freehold
236,"450 Arthur STREET, Regina, Saskatchewan, S4R 4X4",50.47147925,-104.64849604639673,63900,3,1,748,Residential,1910,Freehold
237,"2448 Atkinson STREET, Regina, Saskatchewan, S4N 3X5",50.4399374,-104.5925749596807,184000,3,2,1112,Residential,1957,Freehold
238,"2082 Harvey STREET, Regina, Saskatchewan, S4M 2M7",50.44557025,-104.57856888902577,169900,2,1,680,Residential,1938,Freehold
239,"37 Mitchell CRESCENT, Regina, Saskatchewan, S4R 5G5",50.4729673,-104.65548084973929,229900,2,2,814,Residential,1971,Freehold
240,"3065 Green Bank ROAD, Regina, Saskatchewan, S4V 3P9",50.4236831,-104.5241573,699900,3,3,2007,Residential,2022,Freehold
242,"1201 Athol STREET, Regina, Saskatchewan, S4T 3C4",50.4596824,-104.62799401617089,189000,2,2,720,Residential,1946,Freehold
243,"1718 Parker AVENUE, Regina, Saskatchewan, S4S 4S1",50.4121223,-104.60668624012156,349900,3,3,1377,Residential,1962,Freehold
244,"258 Scarth STREET N, Regina, Saskatchewan, S4R 2Z5",50.4799927,-104.61113945120968,329900,4,2,960,Residential,1961,Freehold
245,"169 DALGLIESH DRIVE, Regina, Saskatchewan, S4R 7Y9",50.486153099999996,-104.65735781878354,535000,4,3,2110,Residential,1978,Freehold
246,"2076 ELLIOTT STREET, Regina, Saskatchewan, S4N 3G9",50.445642649999996,-104.58687365,334900,5,4,1106,Residential,1974,Freehold
247,"1845 Montreal STREET, Regina, Saskatchewan, S4P 1L2",50.4494919,-104.59740470026794,125000,2,2,840,Residential,1958,Freehold
248,"62 Woodsworth CRESCENT, Regina, Saskatchewan, S4T 7C7",50.47334935,-104.66782444692049,389900,4,3,1722,Residential,1974,Freehold
249,"1072 Montague STREET, Regina, Saskatchewan, S4T 3H5",50.461578450000005,-104.63005524518437,149900,3,1,800,Residential,1924,Freehold
250,"3608 Green Lily ROAD, Regina, Saskatchewan, S4V 3M8",50.42168025,-104.5073704197314,784900,3,4,2307,Residential,2016,Freehold
251,"5600 Aerodrome ROAD, Regina, Saskatchewan, S4W 0P4",50.40709185,-104.66107442683699,450000,5,2,2076,Residential,2016,Freehold
252,"913 Retallack STREET, Regina, Saskatchewan, S4T 2H2",50.46415805,-104.62221024543183,134000,3,1,1002,Residential,1982,Freehold
253,"5907 KOEP AVENUE, Regina, Saskatchewan, S4X 0H5",50.5064832,-104.6675014,739900,4,3,2350,Residential,2017,Freehold
254,"4573 Padwick ROAD, Regina, Saskatchewan, S4W 0C3",50.400911300000004,-104.64551060149647,399900,4,2,831,Residential,2011,Freehold
255,"9 Everett CRESCENT, Regina, Saskatchewan, S4S 2M8",50.4144284,-104.6330927627627,449900,4,3,1299,Residential,1971,Freehold
256,"622 Garnet STREET, Regina, Saskatchewan, S4T 2W8",50.4691167,-104.62717805116822,89000,2,1,791,Residential,1929,Freehold
257,"183 Toronto STREET N, Regina, Saskatchewan, S4R 2T4",50.4785818,-104.59884019613048,259900,3,1,810,Residential,1961,Freehold
258,"1937 WINNIPEG STREET, Regina, Saskatchewan, S4P 1G5",50.448093549999996,-104.59486470094508,125000,3,1,1040,Residential,1924,Freehold
259,"14 Chase CRESCENT, Regina, Saskatchewan, S4R 7Y4",50.4967112,-104.59967886799288,324900,3,3,1664,Residential,1978,Freehold
260,"1320 Queen STREET, Regina, Saskatchewan, S4T 4B6",50.45782145,-104.63723962098662,57900,2,1,648,Residential,1922,Freehold
261,"4515 Sherwood DRIVE, Regina, Saskatchewan, S4R 4B3",50.476002750000006,-104.646174,299900,3,1,948,Residential,1961,Freehold
262,"2172 Rae STREET, Regina, Saskatchewan, S4T 2E7",50.4441205,-104.62136551880047,290900,5,2,1692,Residential,1909,Freehold
263,"3445 21st AVENUE, Regina, Saskatchewan, S4S 0T8",50.4292585,-104.633526,1350000,3,3,2705,Residential,2021,Freehold
264,"2060 QUEEN STREET, Regina, Saskatchewan, S4T 4C1",50.4459731,-104.63722355,259900,2,2,958,Residential,1956,Freehold
265,"1265 Atkinson STREET, Regina, Saskatchewan, S4N 3V7",50.45861635,-104.59200485,149900,2,1,753,Residential,1947,Freehold
266,"124 Durham DRIVE, Regina, Saskatchewan, S4S 4Z2",50.40651925,-104.60793325544401,679900,3,3,2018,Residential,2022,Freehold
267,"5646 MCCAUGHEY STREET, Regina, Saskatchewan, S4W 0P3",50.4078428,-104.66194615994084,429900,4,4,1407,Residential,2017,Freehold
268,"48 Dunning CRESCENT, Regina, Saskatchewan, S4S 3W1",50.419978150000006,-104.6010226,349999,5,2,1100,Residential,1957,Freehold
269,"1242 Cameron STREET, Regina, Saskatchewan, S4T 2T1",50.45902685,-104.62572466040146,49900,3,2,671,Residential,1910,Freehold
270,"7251 BLAKENEY DRIVE, Regina, Saskatchewan, S4X 2M4",50.49237795,-104.6850069700105,337000,3,2,1398,Residential,1979,Freehold
271,"2304 Dewdney AVENUE E, Regina, Saskatchewan, S4N 4E1",50.4554326,-104.55040583481687,254900,4,3,1094,Residential,1973,Freehold
272,"3265 Chuka BOULEVARD, Regina, Saskatchewan, S4V 3S5",50.419689,-104.5125239,359900,3,3,1160,Residential,2019,Freehold
273,"136 MCCAUL CRESCENT, Regina, Saskatchewan, S4R 3X1",50.4837214,-104.63500815,312900,3,1,1022,Residential,1963,Freehold
274,"20 Groome AVENUE, Regina, Saskatchewan, S4S 6E6",50.400374400000004,-104.62697015899917,359900,4,3,1074,Residential,1972,Freehold
275,"1830 Cowan CRESCENT, Regina, Saskatchewan, S4S 4C6",50.41853879999999,-104.60639484963357,334000,6,2,1198,Residential,1958,Freehold
276,"330 Hamilton STREET, Regina, Saskatchewan, S4R 2A6",50.473344600000004,-104.60970271244898,159900,2,1,560,Residential,1955,Freehold
277,"2471 Lindsay STREET, Regina, Saskatchewan, S4N 3C7",50.43952345,-104.58474771908476,100000,1,1,520,Residential,1931,Freehold
278,"298 Markwell DRIVE, Regina, Saskatchewan, S4X 1N1",50.4858166,-104.6737034,215000,4,2,980,Residential,1977,Freehold
279,"35 WHEATON CRESCENT, Regina, Saskatchewan, S4S 2Z3",50.406373099999996,-104.62378230663253,399999,5,3,1694,Residential,1966,Freehold
280,"5236 Aerial CRESCENT, Regina, Saskatchewan, S4W 0C8",50.401515450000005,-104.65512459196572,399000,3,3,1533,Residential,2012,Freehold
281,"176 Osler STREET, Regina, Saskatchewan, S4R 1V2",50.47573195,-104.60520252688596,329000,4,3,1367,Residential,1992,Freehold
282,"464 Halifax STREET, Regina, Saskatchewan, S4R 1T3",50.47111725,-104.60380742649252,99900,2,1,780,Residential,1954,Freehold
283,"814 Porteous STREET, Regina, Saskatchewan, S4X 2C1",50.4903098,-104.68609268761057,239000,3,2,1080,Residential,1978,Freehold
284,"2111 King STREET, Regina, Saskatchewan, S4T 4G9",50.44524285,-104.6380250732687,324900,4,3,880,Residential,1954,Freehold
285,"166 Lorne STREET N, Regina, Saskatchewan, S4R 3A7",50.4783187,-104.6140327873384,159900,3,1,960,Residential,1960,Freehold
286,"34 Darke CRESCENT, Regina, Saskatchewan, S4S 3X9",50.41634165000001,-104.59681200393291,319900,3,2,1100,Residential,1958,Freehold
287,"2879 McTavish STREET, Regina, Saskatchewan, S4S 2C5",50.433218999999994,-104.63369928772823,389900,2,3,1382,Residential,1966,Freehold
288,"236 Lorne STREET, Regina, Saskatchewan, S4R 2H9",50.474809449999995,-104.61402496130705,325000,5,2,1176,Residential,2002,Freehold
289,"1432 WASCANA STREET, Regina, Saskatchewan, S4T 4J5",50.456033500000004,-104.6401067,85000,2,1,840,Residential,1912,Freehold
290,"7920 Barley CRESCENT, Regina, Saskatchewan, S4Y 0E6",50.454248,-104.6952405,479900,4,4,1710,Residential,2019,Freehold
291,"211 Fairview ROAD, Regina, Saskatchewan, S4R 6H7",50.492189100000004,-104.60530154468665,309900,5,2,1041,Residential,1973,Freehold
292,"926 MONTAGUE STREET, Regina, Saskatchewan, S4T 3H3",50.46388555,-104.63006474992468,159900,4,2,756,Residential,1968,Freehold
293,"100 Daffodil CRESCENT, Regina, Saskatchewan, S4S 5A4",50.4038647,-104.60986132617333,439900,3,3,1174,Residential,1959,Freehold
294,"2346 McAra STREET, Regina, Saskatchewan, S4N 2W3",50.441545899999994,-104.58252362994642,199000,5,2,820,Residential,1958,Freehold
295,"132 Mcdougall CRESCENT, Regina, Saskatchewan, S4S 5M7",50.4021638,-104.5979301999221,267500,4,2,1041,Residential,1966,Freehold
296,"5334 McKenna CRESCENT, Regina, Saskatchewan, S4W 0G2",50.41639255,-104.65689883687091,539539,5,3,2369,Residential,2013,Freehold
297,"2173 8th AVENUE N, Regina, Saskatchewan, S4R 0G8",50.48182225,-104.61192882525,274900,4,2,1041,Residential,1965,Freehold
298,"3649 Green Cedar COURT, Regina, Saskatchewan, S4V 1M4",50.4224315,-104.522498896505,644900,4,3,1422,Residential,2012,Freehold
299,"296 Smith STREET, Regina, Saskatchewan, S4R 2K8",50.4741461,-104.61543645079203,94000,2,1,565,Residential,1955,Freehold
300,"213 McIntyre STREET, Regina, Saskatchewan, S4R 2L7",50.47508325,-104.61627444917937,497000,6,4,2109,Residential,1969,Freehold
302,"99 Cannon STREET, Regina, Saskatchewan, S4N 1M2",50.4540279,-104.55232324127925,369000,3,3,1759,Residential,1971,Freehold
303,"6 Brockelbank CRESCENT, Regina, Saskatchewan, S4R 6J6",50.4879524,-104.63885101093156,264900,3,2,857,Residential,1975,Freehold
304,"236 Lorne STREET, Regina, Saskatchewan, S4R 2H9",50.474809449999995,-104.61402496130705,325000,5,2,1176,Residential,2002,Freehold
305,"7728 Walsh AVENUE, Regina, Saskatchewan, TBA",50.5020015,-104.6922103,392900,3,3,1413,Residential,2022,Freehold
306,"65 Bannister AVENUE, Regina, Saskatchewan, S4R 5K9",50.4869456,-104.65025514902982,265000,4,2,846,Residential,1972,Freehold
307,"2026 Wallace STREET, Regina, Saskatchewan, S4N 4A4",50.44653725,-104.59400890064839,289900,4,2,1371,Residential,1909,Freehold
308,"1631 Grant DRIVE, Regina, Saskatchewan, S4S 4V1",50.407662349999995,-104.59998548941837,319000,4,3,1137,Residential,1959,Freehold
309,"916 Dewdney AVENUE E, Regina, Saskatchewan, S4N 0C6",50.45536475,-104.57008425000001,205000,2,1,790,Residential,1957,Freehold
310,"567 Scarth STREET, Regina, Saskatchewan, S4R 2C7",50.469835700000004,-104.61052705421113,154000,2,1,765,Residential,1949,Freehold
311,"5281 Aviator CRESCENT, Regina, Saskatchewan, S4W 0G9",50.41276485,-104.65737250112895,799900,5,7,2205,Residential,2013,Freehold
312,"2778 Francis STREET, Regina, Saskatchewan, S4N 2R3",50.4347654,-104.5796969,519900,5,5,1905,Residential,2014,Freehold
313,"801 Forget STREET, Regina, Saskatchewan, S4T 4X5",50.46597275,-104.64926213735289,314900,5,3,1080,Residential,1957,Freehold
314,"450 Alexandra STREET, Regina, Saskatchewan, S4R 4W5",50.47163475,-104.64421717515552,189900,3,2,1029,Residential,1975,Freehold
315,"1450 Montague STREET, Regina, Saskatchewan, S4T 3J2",50.455744800000005,-104.63012665,234900,5,4,1827,Residential,1978,Freehold
316,"3511 Burns ROAD, Regina, Saskatchewan, S4V 2G4",50.42275215,-104.55095096528007,539900,5,4,2266,Residential,1989,Freehold
317,"161 Halifax STREET N, Regina, Saskatchewan, S4R 2W5",50.478453,-104.6031608890256,269900,4,4,1407,Residential,1945,Freehold
318,"848 Elliott STREET, Regina, Saskatchewan, S4N 3E3",50.46511185,-104.58688520000001,209900,3,2,1328,Residential,1976,Freehold
319,"702 Princess STREET, Regina, Saskatchewan, S4T 3X7",50.467554899999996,-104.63577915,112000,2,1,616,Residential,1952,Freehold
320,"5469 Cade STREET E, Regina, Saskatchewan, S4V 3N9",50.4202312,-104.5047926,359900,4,4,1280,Residential,2018,Freehold
321,"3608 Lakeview AVENUE, Regina, Saskatchewan, S4S 1H2",50.422050150000004,-104.63331405174267,619900,6,3,2761,Residential,1966,Freehold
322,"1211 RETALLACK STREET, Regina, Saskatchewan, S4T 2H8",50.4595089,-104.6221833262158,97500,3,1,1109,Residential,1910,Freehold
323,"968 Rae STREET, Regina, Saskatchewan, S4T 2B4",50.46320285,-104.62142305018008,125000,4,1,969,Residential,1975,Freehold
324,"2172 Rae STREET, Regina, Saskatchewan, S4T 2E7",50.4441205,-104.62136551880047,290900,5,2,1692,Residential,1909,Freehold
325,"2333 Montreal STREET, Regina, Saskatchewan, S4P 1L9",50.44175225,-104.59738323302597,259900,3,2,1140,Residential,1913,Freehold
326,"863 Robinson STREET, Regina, Saskatchewan, S4T 2M4",50.464969800000006,-104.62365823269157,124999,2,1,1008,Residential,1912,Freehold
327,"3533 GORDON ROAD, Regina, Saskatchewan, S4S 5V5",50.405198850000005,-104.63197456296615,539900,4,4,1942,Residential,1972,Freehold
328,"439 Argyle STREET, Regina, Saskatchewan, S4R 4C9",50.48377475,-104.63224215,309900,3,2,1056,Residential,1964,Freehold
329,"1106 10th AVENUE E, Regina, Saskatchewan, S4N 0J2",50.452152999999996,-104.5674784,159900,2,1,656,Residential,1961,Freehold
330,"3338 Green Turtle ROAD, Regina, Saskatchewan, S4V 3N6",50.4246079,-104.5042207,419900,3,3,1268,Residential,2021,Freehold
331,"2460 Elliott STREET, Regina, Saskatchewan, S4N 3H4",50.43974015,-104.58685404040146,168000,2,1,906,Residential,1959,Freehold
332,"5886 McKinley AVENUE, Regina, Saskatchewan, S4T 6P3",50.4690174,-104.66647183980024,214900,2,2,853,Residential,1971,Freehold
333,"3028 St James CRESCENT, Regina, Saskatchewan, S4V 2Z2",50.43143685,-104.52930788442492,949000,5,4,2783,Residential,2001,Freehold
334,"1095 Wascana HIGHLANDS, Regina, Saskatchewan, S4V 2K5",50.424298199999996,-104.53907495326371,589900,4,3,1708,Residential,1987,Freehold
336,"4606 Pincherry PLACE E, Regina, Saskatchewan, S4V 1N1",50.412955350000004,-104.51728680344985,628500,5,3,1479,Residential,2010,Freehold
337,"5110 3rd AVENUE N, Regina, Saskatchewan, S4R 6B1",50.47410215,-104.65436605497362,309950,4,2,1282,Residential,1974,Freehold
338,"1357 Elphinstone STREET, Regina, Saskatchewan, S4T 3M5",50.45716825,-104.63084435801329,139910,4,1,1121,Residential,1922,Freehold
339,"3306 Carnegie STREET, Regina, Saskatchewan, S4R 1A6",50.49321915,-104.62852170004248,419900,2,3,1323,Residential,1984,Freehold
340,"3065 Green Bank ROAD, Regina, Saskatchewan, S4V 3P9",50.4236831,-104.5241573,699900,3,3,2007,Residential,2022,Freehold
341,"1352 Angus STREET, Regina, Saskatchewan, S4T 1Y8",50.4466595,-104.6196133,389900,8,5,2584,Residential,2015,Freehold
342,"5158 Boswell CRESCENT, Regina, Saskatchewan, S4X 4S4",50.5047803,-104.65336990633423,474900,4,4,1664,Residential,2004,Freehold
343,"276 Angus STREET, Regina, Saskatchewan, S4R 3K4",50.4741104,-104.61996685806902,209900,4,1,1040,Residential,1959,Freehold
344,"1460 Edward STREET, Regina, Saskatchewan, S4T 4M8",50.4557525,-104.64272745482583,140000,3,1,771,Residential,1956,Freehold
345,"5500 Tutor WAY, Regina, Saskatchewan, S4W 0N6",50.4156255,-104.6596999,354900,3,3,1372,Residential,2015,Freehold
346,"400 Lorne STREET, Regina, Saskatchewan, S4R 2J4",50.4722583,-104.61402559643304,179900,2,1,768,Residential,1958,Freehold
347,"814 Porteous STREET, Regina, Saskatchewan, S4X 2C1",50.4903098,-104.68609268761057,239000,3,2,1080,Residential,1978,Freehold
348,"5262 Aviator CRESCENT, Regina, Saskatchewan, S4W 0G9",50.41340655,-104.65674387724883,624900,3,4,1953,Residential,2013,Freehold
349,"1451-1453 Garnet STREET, Regina, Saskatchewan, S4T 2Y6",50.4424126,-104.6267951,129900,4,2,1774,Residential,1909,Freehold
350,"2107 Rothwell STREET, Regina, Saskatchewan, S4N 2C5",50.4453825,-104.5704418,149000,2,1,792,Residential,1963,Freehold
351,"2467 Edgar STREET, Regina, Saskatchewan, S4N 3L4",50.43973965,-104.58761738646375,239900,4,2,864,Residential,1931,Freehold
352,"1713 Quebec STREET, Regina, Saskatchewan, S4P 1J4",50.451595999999995,-104.59594773542749,95000,3,2,700,Residential,1951,Freehold
353,"4470 Nicurity DRIVE, Regina, Saskatchewan, S4X 0C3",50.5000737,-104.64476728235971,409900,3,3,1435,Residential,2007,Freehold
354,"52 Knowles CRESCENT, Regina, Saskatchewan, S4S 4P1",50.41577455,-104.60403362450441,309900,4,2,1040,Residential,1959,Freehold
355,"38 Bird BAY, Regina, Saskatchewan, S4N 1P9",50.4512929,-104.55884395,389900,3,3,1135,Residential,1971,Freehold
356,"4515 Sherwood DRIVE, Regina, Saskatchewan, S4R 4B3",50.476002750000006,-104.646174,299900,3,1,948,Residential,1961,Freehold
357,"211 Douglas CRESCENT, Regina, Saskatchewan, S4N 1J3",50.4337466,-104.58456948819128,1599000,4,4,2228,Residential,2021,Freehold
358,"46 Pearson PLACE, Regina, Saskatchewan, S4S 5W2",50.409962300000004,-104.63595072869477,269900,3,2,1230,Residential,1971,Freehold
359,"14 Springstein AVENUE, Regina, Saskatchewan, S4H 7H7",50.4893483,-104.65553670938783,475000,4,3,2021,Residential,1978,Freehold
360,"1833 Atkinson STREET, Regina, Saskatchewan, S4N 3W4",50.44972,-104.59203051098326,119000,2,1,640,Residential,1929,Freehold
361,"1602 Longworthy BAY, Regina, Saskatchewan, S4V 1B7",50.44144034999999,-104.56100061629178,589900,3,3,2691,Residential,1983,Freehold
362,"3445 21st AVENUE, Regina, Saskatchewan, S4S 0T8",50.4292585,-104.633526,1350000,3,3,2705,Residential,2021,Freehold
363,"166 Lorne STREET N, Regina, Saskatchewan, S4R 3A7",50.4783187,-104.6140327873384,159900,3,1,960,Residential,1960,Freehold
364,"6030 Dewdney AVENUE, Regina, Saskatchewan, S4T 1C9",50.4554232,-104.6676625496698,235000,3,2,846,Residential,1975,Freehold
365,"32 Acadia BAY, Regina, Saskatchewan, S4S 4T6",50.410682449999996,-104.60456790734372,329000,3,2,1542,Residential,1961,Freehold
366,"2322 RETALLACK STREET, Regina, Saskatchewan, S4T 2K8",50.441942850000004,-104.6228050267139,239900,3,1,1190,Residential,1912,Freehold
367,"1171 Queen STREET, Regina, Saskatchewan, S4T 4B3",50.460089800000006,-104.63661454999999,37500,2,1,740,Residential,1960,Freehold
369,"2340 MCDONALD STREET, Regina, Saskatchewan, S4N 2Z1",50.44160495,-104.58393098584,119900,2,1,658,Residential,1942,Freehold
370,"1845 Montreal STREET, Regina, Saskatchewan, S4P 1L2",50.4494919,-104.59740470026794,125000,2,2,840,Residential,1958,Freehold
371,"42 Dutton CRESCENT, Regina, Saskatchewan, S4N 4E5",50.456095149999996,-104.5505531,185000,4,2,1000,Residential,1973,Freehold
372,"2250 Elphinstone STREET, Regina, Saskatchewan, S4T 3N8",50.443053500000005,-104.63149316889962,489900,3,2,2105,Residential,1914,Freehold
373,"6029 Eagles COVE, Regina, Saskatchewan, S4X 0H5",50.5073568,-104.66955587914794,1350000,5,4,2979,Residential,2012,Freehold
374,"2173 8th AVENUE N, Regina, Saskatchewan, S4R 0G8",50.48182225,-104.61192882525,274900,4,2,1041,Residential,1965,Freehold
375,"1148 Princess STREET, Regina, Saskatchewan, S4T 3Y5",50.46043185,-104.6358111,139900,3,1,794,Residential,1954,Freehold
376,"3140 Grant ROAD, Regina, Saskatchewan, S4S 5H1",50.406531900000004,-104.59924993788901,309000,5,2,1584,Residential,1965,Freehold
377,"3636 Dewdney AVENUE, Regina, Saskatchewan, S4T 0Z5",50.455369899999994,-104.6338546493603,169980,6,2,1523,Residential,1925,Freehold
378,"112 College AVENUE E, Regina, Saskatchewan, S4N 0V4",50.44108865,-104.5812784981112,229999,4,2,1104,Residential,1962,Freehold
379,"841 Retallack STREET, Regina, Saskatchewan, S4T 2G9",50.465314649999996,-104.62217978575708,99900,3,2,1092,Residential,1972,Freehold
380,"1345 Aberdeen STREET, Regina, Saskatchewan, S4T 5K3",50.45767605,-104.65795992951374,189900,2,1,672,Residential,1953,Freehold
381,"941 MCINTOSH STREET, Regina, Saskatchewan, S4T 5B6",50.4636215,-104.65217025007195,189900,2,1,748,Residential,1953,Freehold
382,"112 Garnet STREET, Regina, Saskatchewan, S4R 3S1",50.47654475,-104.62717864999999,244900,3,1,1020,Residential,1957,Freehold
383,"473 Froom CRESCENT, Regina, Saskatchewan, S4N 1T5",50.4434361,-104.5704188,169900,3,2,792,Residential,1964,Freehold
384,"778 Rae STREET, Regina, Saskatchewan, S4T 2A9",50.466286350000004,-104.62137732330709,69900,4,4,1671,Residential,1924,Freehold
385,"211 Rae STREET, Regina, Saskatchewan, S4R 3L7",50.47472665,-104.6207553950141,239950,3,1,988,Residential,1958,Freehold
386,"4573 Padwick ROAD, Regina, Saskatchewan, S4W 0C3",50.400911300000004,-104.64551060149647,399900,4,2,831,Residential,2011,Freehold
387,"1718 Stoney LANE, Regina, Saskatchewan, S4X 0A7",50.5000811,-104.6059981427959,429910,3,3,1581,Residential,2008,Freehold
389,"34 Darke CRESCENT, Regina, Saskatchewan, S4S 3X9",50.41634165000001,-104.59681200393291,319900,3,2,1100,Residential,1958,Freehold
390,"3000 Albert STREET, Regina, Saskatchewan, S4S 3N7",50.4314251,-104.61861485990929,829900,3,3,2776,Residential,1923,Freehold
391,"601 Broadway AVENUE E, Regina, Saskatchewan, S4N 1A2",50.44006145,-104.57276375107728,359900,4,2,1178,Residential,1956,Freehold
392,"83 MCSHERRY CRESCENT, Regina, Saskatchewan, S4T 7B5",50.47147185,-104.67200431280261,292900,3,2,1049,Residential,1974,Freehold
393,"2 Labelle PLACE, Regina, Saskatchewan, S4N 1T8",50.439699950000005,-104.56575454981035,279000,4,3,1983,Residential,1964,Freehold
394,"7616 Mapleford BOULEVARD, Regina, Saskatchewan, S4Y 0C6",50.5012131,-104.6901448,364900,3,3,1327,Residential,2022,Freehold
395,"3726 Green Moss LANE, Regina, Saskatchewan, S4V 1P6",50.41926775,-104.52337618434228,429999,3,3,1607,Residential,2012,Freehold
396,"3410 McCallum AVENUE, Regina, Saskatchewan, S4S 0S1",50.43191915,-104.63007387550218,364900,5,2,1144,Residential,1950,Freehold
397,"2038 King STREET, Regina, Saskatchewan, S4T 4G6",50.44631895,-104.6386614847176,179900,2,1,723,Residential,1921,Freehold
398,"314 Rae STREET, Regina, Saskatchewan, S4R 3L9",50.473586600000004,-104.62140915038478,299900,4,3,1248,Residential,1993,Freehold
399,"3709 NORMANDY AVENUE, Regina, Saskatchewan, S4S 0Y1",50.4337141,-104.63433805,329900,3,2,1793,Residential,1950,Freehold
401,"1232 Cameron STREET, Regina, Saskatchewan, S4T 2T1",50.45925005,-104.6257208504305,44900,3,2,864,Residential,1952,Freehold
402,"350 forsyth CRESCENT, Regina, Saskatchewan, S4R 5L5",50.47279975,-104.6612958,289900,4,2,850,Residential,1972,Freehold
403,"969 Robinson STREET, Regina, Saskatchewan, S4T 2M6",50.4632035,-104.6236417,389000,6,4,1763,Residential,2014,Freehold
404,"4522 Green Water ROAD, Regina, Saskatchewan, S4V 3H2",50.4238112,-104.51425388994804,620000,5,3,1222,Residential,2016,Freehold
405,"375 Froom CRESCENT, Regina, Saskatchewan, S4N 1T5",50.4409177,-104.5683313028432,249900,4,2,1064,Residential,1965,Freehold
406,"2611 Makowsky CRESCENT, Regina, Saskatchewan, S4X 0M8",50.4961374,-104.62020017080734,429900,3,3,1402,Residential,2015,Freehold
407,"2348 Toronto STREET, Regina, Saskatchewan, S4P 1N6",50.441464999999994,-104.59942235195008,109000,3,1,954,Residential,1912,Freehold
408,"145 McNab CRESCENT, Regina, Saskatchewan, S4S 4B3",50.419992199999996,-104.60865131396093,349000,5,2,1118,Residential,1955,Freehold
409,"27 Neilson CRESCENT, Regina, Saskatchewan, S4R 7R1",50.4873266,-104.62237785,259900,4,2,1036,Residential,1977,Freehold
